"filename", "language", "TypeScript", "TypeScript JSX", "PostCSS", "XML", "comment", "blank", "total"
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\services\core\otp.core.service.ts", "TypeScript", 17, 0, 0, 0, 0, 4, 21
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\services\featured.service.ts", "TypeScript", 231, 0, 0, 0, 0, 34, 265
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\services\media.service.ts", "TypeScript", 123, 0, 0, 0, 1, 19, 143
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\services\project.service.ts", "TypeScript", 174, 0, 0, 0, 0, 23, 197
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\services\team.service.ts", "TypeScript", 224, 0, 0, 0, 0, 28, 252
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\services\user.service.ts", "TypeScript", 242, 0, 0, 0, 5, 31, 278
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\types\api.types.ts", "TypeScript", 71, 0, 0, 0, 2, 10, 83
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\types\core.types.ts", "TypeScript", 85, 0, 0, 0, 0, 12, 97
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\types\domain.types.ts", "TypeScript", 170, 0, 0, 0, 0, 20, 190
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\types\global.types.ts", "TypeScript", 7, 0, 0, 0, 0, 2, 9
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\types\index.types.ts", "TypeScript", 8, 0, 0, 0, 0, 2, 10
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\types\response.types.ts", "TypeScript", 46, 0, 0, 0, 0, 8, 54
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\types\service.types.ts", "TypeScript", 489, 0, 0, 0, 2, 84, 575
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\utils\cloudinary.ts", "TypeScript", 8, 0, 0, 0, 0, 3, 11
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\utils\cookie.ts", "TypeScript", 19, 0, 0, 0, 0, 6, 25
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\utils\email.ts", "TypeScript", 47, 0, 0, 0, 0, 11, 58
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\utils\envVariable.ts", "TypeScript", 17, 0, 0, 0, 0, 8, 25
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\utils\error.ts", "TypeScript", 11, 0, 0, 0, 0, 6, 17
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\utils\logger.ts", "TypeScript", 20, 0, 0, 0, 0, 9, 29
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\utils\responseHandler.ts", "TypeScript", 106, 0, 0, 0, 0, 20, 126
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\utils\secret.ts", "TypeScript", 11, 0, 0, 0, 0, 6, 17
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\utils\serialize.ts", "TypeScript", 8, 0, 0, 0, 0, 3, 11
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\validators\auth.validator.ts", "TypeScript", 41, 0, 0, 0, 0, 3, 44
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\validators\blog.validator.ts", "TypeScript", 41, 0, 0, 0, 0, 3, 44
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\validators\core.validator.ts", "TypeScript", 90, 0, 0, 0, 0, 11, 101
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\validators\featured.validator.ts", "TypeScript", 17, 0, 0, 0, 0, 3, 20
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\validators\media.validator.ts", "TypeScript", 16, 0, 0, 0, 0, 3, 19
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\validators\project.validator.ts", "TypeScript", 31, 0, 0, 0, 0, 3, 34
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\validators\team.validator.ts", "TypeScript", 36, 0, 0, 0, 0, 3, 39
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\lib\validators\user.validator.ts", "TypeScript", 42, 0, 0, 0, 0, 3, 45
"c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src\middleware.ts", "TypeScript", 46, 0, 0, 0, 0, 13, 59
"Total", "-", 5042, 7645, 330, 49, 706, 1651, 15423
